No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump-So11111111111111111111111111111111111111112,gork-SOL,gork,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,SOL,So11111111111111111111111111111111111111112,1582514.37,15803432.93,15803434.07,2348406.94,400,3,12,1,15,2
2,9Wkcek2EZFmJf5L2XmC5rfnNVBrdndbMe6yW8fbfbonk-So11111111111111111111111111111111111111112,CHACHA-SOL,CHACHA,9Wkcek2EZFmJf5L2XmC5rfnNVBrdndbMe6yW8fbfbonk,SOL,So11111111111111111111111111111111111111112,13200.94,2828808.36,2828809.74,14000.21,400,1,7,1,8,2
3,84uEY5usWe96ucnyTpxfKM2Qs7QUrZH739i95RwTpdAo-So11111111111111111111111111111111111111112,ST-SOL,ST,84uEY5usWe96ucnyTpxfKM2Qs7QUrZH739i95RwTpdAo,SOL,So11111111111111111111111111111111111111112,2793.19,8079.92,8079.87,3155.86,400,1,1,1,2,2
