No., token_name, token_address, 4.txt, 2A, 2B, 4A, 4B, 5A, 5B, 6A, 6B
48,ACT,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,1,0,0,0,0,0,0,0,0
49,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,1,0,0,0,0,0,0,0,0
50,RAY,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,1,0,0,0,0,0,0,0,0
51,ELIZA,wUtwjNmjCP9TTTtoc5Xn5h5sZ2cYJm5w2w44b79yr2o,1,0,0,0,0,0,0,0,0
52,LAYER,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,1,0,0,0,0,0,0,0,0
53,SQUID,HN8GGgzBFvuePPL3DGPg7uuq2dVgLApnNcW4pxY9a11o,0,1,1,0,0,1,1,0,0
54,land,9jUb38tuMqsCe328tM7kxFEm3wRpbo3MbXPJoFiTpump,0,1,1,0,0,0,0,0,0
55,House,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,0,0,0,1,1,0,0,1,1
56,TROLL,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,0,0,0,1,1,0,0,1,1
57,Lemon,CjqxraDuTMEcfhdqY8qEaMY43icdBrkt3EXciNVpump,0,0,0,1,1,0,0,0,0
58,Hosico,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk,0,0,0,1,1,0,0,1,1
59,FDUSD,9zNQRsGLjNKwCUU5Gq5LR8beUCPzQMVMqKAi3SSZh54u,0,0,0,1,1,0,0,0,0
60,MvG,qRUZaCpgxaRH1s5V6opjPA6Hnpv5BM37LqkDBw7pump,0,0,0,1,1,0,0,0,0
61,KMNO,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,0,0,0,1,1,0,0,1,1
62,Grassito,GkeUTuaFB4oZADaqiCo3yauHNx9SxUNn8euHptEEbonk,0,0,0,1,1,0,0,1,1
63,neet,Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,0,0,0,1,1,0,0,0,0
64,GRASS,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,0,0,0,1,1,0,0,1,1
65,LetsBONK,CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk,0,0,0,1,1,0,0,1,1
66,VIRTUAL,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y,0,0,0,1,1,0,0,1,1
67,titcoin,FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump,0,0,0,1,1,0,0,1,1
68,SEND,SENDdRQtYMWaQrBroBrJ2Q53fgVuq95CV9UPGEvpCxa,0,0,0,1,1,0,0,1,1
69,EURC,HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,0,0,0,1,1,0,0,1,1
70,LUX,BmXfbamFqrBzrqihr9hbSmEsfQUXMVaqshAjgvZupump,0,0,0,1,1,0,0,1,1
71,PASTERNAK,Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk,0,0,0,1,1,0,0,1,1
72,ME,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,0,0,0,1,1,0,0,1,1
73,Wizard,8oosbx7jJrZxm5m4ThKhBpvwwG4QpoAe6i4GiG19pump,0,0,0,1,1,0,0,0,0
74,BMT,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,0,0,0,1,1,0,0,1,1
75,DARK,8BtoThi2ZoXnF7QQK1Wjmh2JuBw9FjVvhnGMVZ2vpump,0,0,0,1,1,0,0,1,1
76,MOBY,Cy1GS2FqefgaMbi45UunrUzin1rfEmTUYnomddzBpump,0,0,0,1,1,0,0,1,1
77,lola,4MeqZ8v3XbNVVX6B69XxXaymoTX6DbK8iZgaGngCbonk,0,0,0,1,1,0,0,1,1
78,PAIN,1Qf8gESP4i6CFNWerUSDdLKJ9U1LpqTYvjJ2MM4pain,0,0,0,1,1,0,0,0,0
79,jobcoin,AyrQpt5xsVYiN4BqgZdd2tZJAWswT9yLUZmP1jKqpump,0,0,0,1,1,0,0,1,1
80,PVS,FWAr6oWa6CHg6WUcXu8CqkmsdbhtEqL8t31QTonppump,0,0,0,1,1,0,0,1,1
81,BAM,CWY3XDTbN91sSmg4XR3ZgxAVgrhiFv4Ue8gUwwJLbonk,0,0,0,1,1,0,0,1,1
82,RFC,C3DwDjT17gDvvCYC2nsdGHxDHVmQRdhKfpAdqQ29pump,0,0,0,1,1,0,0,1,1
83,JOS,JosjEXh69RckgSs2AWsN1xN8zmiSHxBuJjHLURJnHhg,0,0,0,1,1,0,0,1,1
84,Ghibli,4TBi66vi32S7J8X1A6eWfaLHYmUXu7CStcEmsJQdpump,0,0,0,1,1,0,0,1,1
85,$COLLAT,C7heQqfNzdMbUFQwcHkL9FvdwsFsDRBnfwZDDyWYCLTZ,0,0,0,1,1,0,0,1,1
86,Italianrot,BQX1cjcRHXmrqNtoFWwmE5bZj7RPneTmqXB979b2pump,0,0,0,1,1,0,0,1,1
87,FAT,5LJMJyR8MtAkbtpf8kFUV7S9oFG3xaGDdcnFxYt9pump,0,0,0,1,1,0,0,1,1
88,SAG3,Gx5dX1pM5aCQn8wtXEmEHSUia3W57Jq7qdu7kKsHvirt,0,0,0,1,1,0,0,0,0
89,NOM,2MDr15dTn6km3NWusFcnZyhq3vWpYDg7vWprghpzbonk,0,0,0,1,1,0,0,0,0
90,MTN,mtnc7NNSpAJuvYNmayXU63WhWZGgFzwQ2yeYWqemeta,0,0,0,1,1,0,0,1,1
91,MOTION,FFVcrc7wxCQ2HsxY6jhKNPwWUeKJsL472K28Vw16pump,0,0,0,1,1,0,0,0,0
92,pwease,CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,0,0,0,1,1,0,0,1,1
93,SSE,H4phNbsqjV5rqk8u6FUACTLB6rNZRTAPGnBb8KXJpump,0,0,0,1,1,0,0,1,1
94,TONIC,2DSFvQtdoqv7DjPgXL5tjTYJ3ABBnoBeTfAJTXNdbonk,0,0,0,1,1,0,0,1,1
95,LLM,98mb39tPFKQJ4Bif8iVg9mYb9wsfPZgpgN1sxoVTpump,0,0,0,1,1,0,0,1,1
96,CHONKY,H7ed7UgcLp3ax4X1CQ5WuWDn6d1pprfMMYiv5ejwLWWU,0,0,0,1,1,0,0,1,1
97,LUCE,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,0,0,0,1,1,0,0,1,1
98,zBTC,zBTCug3er3tLyffELcvDNrKkCymbPWysGcWihESYfLg,0,0,0,1,1,0,0,1,1
99,toly,JCeoBX79HfatfaY6xvuNyCHf86hwgkCCWDpEycVHtime,0,0,0,1,1,0,0,0,0
100,Pumpswap ,GMk6j2defJhS7F194toqmJNFNhAkbDXhYJo5oR3Rpump,0,0,0,1,1,0,0,0,0
101,Anon,9McvH6w97oewLmPxqQEoHUAv3u5iYMyQ9AeZZhguYf1T,0,0,0,1,1,0,0,1,1
102,DIO,BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,0,0,0,1,1,0,0,0,0
103,TAI,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,0,0,0,0,0,0,0,1,1
104,ZEREBRO,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,0,0,0,0,0,0,0,1,1
105,jellyjelly,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,0,0,0,0,0,0,0,1,1
106,,Hg8bKz4mvs8KNj9zew1cEF9tDw1x2GViB4RFZjVEmfrD,0,0,0,0,0,0,0,1,1
107,pippin,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0,0,0,0,0,0,0,1,1
108,Ban,9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump,0,0,0,0,0,0,0,1,1
109,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,0,0,0,0,0,0,0,1,1
110,BUTTCOIN,FasH397CeZLNYWkd3wWK9vrmjd1z93n3b59DssRXpump,0,0,0,0,0,0,0,1,1
111,STONKS,6NcdiK8B5KK2DzKvzvCfqi8EHaEqu48fyEzC8Mm9pump,0,0,0,0,0,0,0,1,1
112,UFD,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump,0,0,0,0,0,0,0,1,1
113,RENDER,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,0,0,0,0,0,0,0,1,1
114,BUZZ,9DHe3pycTuymFk4H4bbPoAJ4hQrr2kaLDF6J6aAKpump,0,0,0,0,0,0,0,1,1
115,LUMO,4FkNq8RcCYg4ZGDWh14scJ7ej3m5vMjYTcWoJVkupump,0,0,0,0,0,0,0,1,1
116,$michi,5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,0,0,0,0,0,0,0,1,1
117,MLG,7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,0,0,0,0,0,0,0,1,1
118,SNAI,Hjw6bEcHtbHGpQr8onG3izfJY5DJiWdt7uk2BfdSpump,0,0,0,0,0,0,0,1,1
119,HAT,AxGAbdFtdbj2oNXa4dKqFvwHzgFtW9mFHWmd7vQfpump,0,0,0,0,0,0,0,1,1
120,MOTHER,3S8qX1MsMqRbiwKg2cQyx7nis1oHMgaCuc9c4VfvVdPN,0,0,0,0,0,0,0,1,1
121,degenai,Gu3LDkn7Vx3bmCzLafYNKcDxv2mH7YN44NJZFXnypump,0,0,0,0,0,0,0,1,1
122,TRISIG,BLDiYcvm3CLcgZ7XUBPgz6idSAkNmWY6MBbm8Xpjpump,0,0,0,0,0,0,0,1,1
123,ZEUS,ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq,0,0,0,0,0,0,0,1,1
124,BOTIFY,BYZ9CcZGKAXmN2uDsKcQMM9UnZacija4vWcns9Th69xb,0,0,0,0,0,0,0,1,1
125,SIGMA,5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump,0,0,0,0,0,0,0,1,1
126,YNE,7D1iYWfhw2cr9yBZBFE6nZaaSUvXHqG5FizFFEZwpump,0,0,0,0,0,0,0,1,1
127,MANEKI,25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,0,0,0,0,0,0,0,1,1
128,ELIZA,5voS9evDjxF589WuEub5i4ti7FWQmZCsAsyD5ucbuRqM,0,0,0,0,0,0,0,1,1
129,SLERF,7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,0,0,0,0,0,0,0,1,1
130,OPUS,9JhFqCA21MoAXs2PTaeqNQp2XngPn1PgYr2rsEVCpump,0,0,0,0,0,0,0,1,1
131,Aimonica,FVdo7CDJarhYoH6McyTFqx71EtzCPViinvdd1v86Qmy5,0,0,0,0,0,0,0,1,1
132,GRIFT,GekTNfm84QfyP2GdAHZ5AgACBRd69aNmgA5FDhZupump,0,0,0,0,0,0,0,1,1
133,GFM,E1jCTXdkMRoawoWoqfbhiNkkLbxcSHPssMo36U84pump,0,0,0,0,0,0,0,1,1
134,BONGO,HUdqc5MR5h3FssESabPnQ1GTgTcPvnNudAuLj5J6a9sU,0,0,0,0,0,0,0,1,1
135,RETARDIO,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,0,0,0,0,0,0,0,1,1
136,AGiXT,F9TgEJLLRUKDRF16HgjUCdJfJ5BK6ucyiW8uJxVPpump,0,0,0,0,0,0,0,1,1
137,$RIF,GJtJuWD9qYcCkrwMBmtY1tpapV1sKfB2zUv9Q4aqpump,0,0,0,0,0,0,0,1,1
138,listen,Cn5Ne1vmR9ctMGY9z5NC71A3NYFvopjXNyxYtfVYpump,0,0,0,0,0,0,0,1,1
139,Butthole,CboMcTUYUcy9E6B3yGdFn6aEsGUnYV6yWeoeukw6pump,0,0,0,0,0,0,0,1,1
140,AIXBT,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0,0,0,0,0,0,1,1
141,LOCKIN,8Ki8DpuWNxu9VsS3kQbarsCWMcFGWkzzA8pUPto9zBd5,0,0,0,0,0,0,0,1,1
142,Shoggoth,H2c31USxu35MDkBrGph8pUDUnmzo2e4Rf4hnvL2Upump,0,0,0,0,0,0,0,1,1
143,PYTHIA,CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,0,0,0,0,0,0,0,1,1
144,LABUBU,JB2wezZLdzWfnaCfHxLg193RS3Rh51ThiXxEDWQDpump,0,0,0,0,0,0,0,1,1
145,vvaifu,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,0,0,0,0,0,0,0,1,1
146,$URO,FvgqHMfL9yn39V79huDPy3YUNDoYJpuLWng2JfmQpump,0,0,0,0,0,0,0,1,1
147,IO,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,0,0,0,0,0,0,0,1,1
148,OIIAOIIA,VaxZxmFXV8tmsd72hUn22ex6GFzZ5uq9DVJ5wA5pump,0,0,0,0,0,0,0,1,1
149,LMT,86t88w3MKT38HChTBKBwEeb1RW1MeTceaW68qY2Vpump,0,0,0,0,0,0,0,1,1
150,VIRAL,HW7D5MyYG4Dz2C98axfjVBeLWpsEnofrqy6ZUwqwpump,0,0,0,0,0,0,0,1,1
151,FO,JDzPbXboQYWVmdxXS3LbvjM52RtsV1QaSv2AzoCiai2o,0,0,0,0,0,0,0,1,1
152,USA,69kdRLyP5DTRkpHraaSZAQbWmAwzF9guKjZfzMXzcbAs,0,0,0,0,0,0,0,1,1
153,GRPH,9doRRAik5gvhbEwjbZDbZR6GxXSAfdoomyJR57xKpump,0,0,0,0,0,0,0,1,1
154,ATR,ATRLuHph8dxnPny4WSNW7fxkhbeivBrtWbY6BfB4xpLj,0,0,0,0,0,0,0,1,1
155,Bert,HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,0,0,0,0,0,0,0,1,1
156,MAX,oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,0,0,0,0,0,0,0,1,1
157,DOG,dog1viwbb2vWDpER5FrJ4YFG6gq6XuyFohUe9TXN65u,0,0,0,0,0,0,0,1,1
158,CHEX,6dKCoWjpj5MFU5gWDEFdpUUeBasBLK3wLEwhUzQPAa1e,0,0,0,0,0,0,0,1,1
159,ALON,8XtRWb4uAAJFMP4QQhoYYCWR6XXb7ybcCdiqPwz9s5WS,0,0,0,0,0,0,0,1,1
160,GNON,HeJUFDxfJSzYFUuHLxkMqCgytU31G6mjP4wKviwqpump,0,0,0,0,0,0,0,1,1
161,DOLAN,4YK1njyeCkBuXG6phNtidJWKCbBhB659iwGkUJx98P5Z,0,0,0,0,0,0,0,1,1
162,MUSKIT,9So52ugZh2BLBT3f7p61947q91uQh2DyvbfyMDeRpump,0,0,0,0,0,0,0,1,1
163,NEUR,3N2ETvNpPNAxhcaXgkhKoY1yDnQfs41Wnxsx5qNJpump,0,0,0,0,0,0,0,1,1
164,PYTH,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,0,0,0,0,0,0,0,1,1
165,WOULD,J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,0,0,0,0,0,0,0,1,1
166,PEPECAT,CRAMvzDsSpXYsFpcoDr6vFLJMBeftez1E7277xwPpump,0,0,0,0,0,0,0,1,1
167,MAIAR,G5e2XonmccmdKc98g3eNQe5oBYGw9m8xdMUvVtcZpump,0,0,0,0,0,0,0,1,1
168,$1,GHichsGq8aPnqJyz6Jp1ASTK4PNLpB5KrD6XrfDjpump,0,0,0,0,0,0,0,1,1
169,nub,GtDZKAqvMZMnti46ZewMiXCa4oXF4bZxwQPoKzXPFxZn,0,0,0,0,0,0,0,1,1
170,nuit,2eXamy7t3kvKhfV6aJ6Uwe3eh8cuREFcTKs1mFKZpump,0,0,0,0,0,0,0,1,1
171,TANK,GAMwtMB6onAvBNBQJCJFuxoaqfPH8uCQ2dewNMVVpump,0,0,0,0,0,0,0,1,1
172,Qude,3MyaQBG7y3SHLQZa282Jh2xtB2TZKHGzNp1CuZ4Cpump,0,0,0,0,0,0,0,1,1
173,FYBN,BXNGghGbqrt2PcM3Y2Une5fD4kbU6VVSPC4uPjf8pump,0,0,0,0,0,0,0,1,1
174,Crashout,6JGSHS9GrE9uG8ix63w3DPMYHrgrJ6J4QyHbBhAepump,0,0,0,0,0,0,0,1,1
175,DOGEAI,9UYAYvVS2cZ3BndbsoG1ScJbjfwyEPGxjE79hh5ipump,0,0,0,0,0,0,0,1,1
176,DIGIMON,WEmjxPMGXEW1Nvc4rCgRKiWHj1H1tvhPsKMw2yvpump,0,0,0,0,0,0,0,1,1
177,jailstool,AxriehR6Xw3adzHopnvMn7GcpRFcD41ddpiTWMg6pump,0,0,0,0,0,0,0,1,1
178,TETSUO,8i51XNNpGaKaj4G4nDdmQh95v4FKAxw8mhtaRoKd9tE8,0,0,0,0,0,0,0,1,1
179,FRED,CNvitvFnSM5ed6K28RUNSaAjqqz5tX1rA5HgaBN9pump,0,0,0,0,0,0,0,1,1
180,meow,BUhS5coXEt9hcxN3JSpGYUWSKbNo96RsKu52LcMo12rf,0,0,0,0,0,0,0,1,1
181,PAYAI,E7NgL19JbN8BhUDgWjkH8MtnbhJoaGaWJqosxZZepump,0,0,0,0,0,0,0,1,1
182,YzY,4NBTf8PfLH4oLFnwf3knv46FY9i5oXjDxffCetXRpump,0,0,0,0,0,0,0,1,1
