No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,9fyGRD9vX7W7CcHHS22zH2bBRzBoAAPKc93PMzxybonk-So11111111111111111111111111111111111111112,BONKFIRE-SOL,BONKFIRE,9fyGRD9vX7W7CcHHS22zH2bBRzBoAAPKc93PMzxybonk,SOL,So11111111111111111111111111111111111111112,4658.63,2420830.43,2420831.57,837.34,400,1,5,1,6,2
2,93a1thMAdY2Ppr6bHuaasAT5YmM5wLyZoPdJfFFSbonk-So11111111111111111111111111111111111111112,DUMPFUN-SOL,DUMPFUN,93a1thMAdY2Ppr6bHuaasAT5YmM5wLyZoPdJfFFSbonk,SOL,So11111111111111111111111111111111111111112,2426.4,3480412.79,3480413.52,1347.91,400,1,7,1,8,2
3,9GHauyzHQvffLUxK26TwcRfppPi87sS5eJffaVKMbonk-So11111111111111111111111111111111111111112,SCRAP-SOL,SCRAP,9GHauyzHQvffLUxK26TwcRfppPi87sS5eJffaVKMbonk,SOL,So11111111111111111111111111111111111111112,743.88,2235.73,2235.76,2235.76,400,1,1,1,2,2
4,2DSFvQtdoqv7DjPgXL5tjTYJ3ABBnoBeTfAJTXNdbonk-So11111111111111111111111111111111111111112,TONIC-SOL,TONIC,2DSFvQtdoqv7DjPgXL5tjTYJ3ABBnoBeTfAJTXNdbonk,SOL,So11111111111111111111111111111111111111112,2649.85,24668.71,24668.56,2393.38,400,1,1,1,2,2
5,9Nc7qznSyhq1YV2r9EeNJgsfH7yjKVd6Zty3Suzibonk-So11111111111111111111111111111111111111112,BATCOIN-SOL,BATCOIN,9Nc7qznSyhq1YV2r9EeNJgsfH7yjKVd6Zty3Suzibonk,SOL,So11111111111111111111111111111111111111112,19477.42,228090.46,228090.44,5439.16,400,2,3,1,5,2
6,A2sPuYg9kHS38skYk8SDmC49GmvFnbxEfprRLHUobonk-So11111111111111111111111111111111111111112,Mini-SOL,Mini,A2sPuYg9kHS38skYk8SDmC49GmvFnbxEfprRLHUobonk,SOL,So11111111111111111111111111111111111111112,1187.54,16884.46,16884.6,16881.93,400,1,2,1,3,2
7,2MDr15dTn6km3NWusFcnZyhq3vWpYDg7vWprghpzbonk-So11111111111111111111111111111111111111112,NOM-SOL,NOM,2MDr15dTn6km3NWusFcnZyhq3vWpYDg7vWprghpzbonk,SOL,So11111111111111111111111111111111111111112,10938.66,59880.56,59880.71,22259.18,400,1,1,1,2,2
8,8x8YipfqZctyTadL2sETH8YbMtinZAXZi6CYFebfpump-So11111111111111111111111111111111111111112,RENTCOIN-SOL,RENTCOIN,8x8YipfqZctyTadL2sETH8YbMtinZAXZi6CYFebfpump,SOL,So11111111111111111111111111111111111111112,29830.9,387323.87,387324.05,36489.33,400,1,3,1,4,2
9,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk-So11111111111111111111111111111111111111112,Hosico-SOL,Hosico,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk,SOL,So11111111111111111111111111111111111111112,1131438.34,5865858.2,5865858.69,131202.64,400,2,6,1,8,2
10,CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk-So11111111111111111111111111111111111111112,LetsBONK-SOL,LetsBONK,CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk,SOL,So11111111111111111111111111111111111111112,1114545.51,29421733.54,29422392.62,818752.89,400,3,9,1,12,2
