No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,EmoNk76Psbz4k1DpePgyFmZX3Wkv3RDfo8tGX9cbonk-So11111111111111111111111111111111111111112,Dazhuang-SOL,Dazhuang,EmoNk76Psbz4k1DpePgyFmZX3Wkv3RDfo8tGX9cbonk,SOL,So11111111111111111111111111111111111111112,241594.81,1106026.9,1106027.17,327895.86,400,1,2,1,3,2
2,8w2PY5u2C53tcoSPN4KCjjuZRDEqhyddBNpsyBBLbonk-So11111111111111111111111111111111111111112,Bonkify-SOL,Bonkify,8w2PY5u2C53tcoSPN4KCjjuZRDEqhyddBNpsyBBLbonk,SOL,So11111111111111111111111111111111111111112,23740.35,1488165.69,1488165.53,12141.61,400,3,4,1,7,2
3,Hd27VefgHUMxKwdtLZMigNFcjL8vKTfd3grinX2cbonk-So11111111111111111111111111111111111111112,CALF-SOL,CALF,Hd27VefgHUMxKwdtLZMigNFcjL8vKTfd3grinX2cbonk,SOL,So11111111111111111111111111111111111111112,10916.35,8001.88,8001.9,8001.9,400,1,1,1,2,2
4,HJ2n2a3YK1LTBCRbS932cTtmXw4puhgG8Jb2WcpEpump-So11111111111111111111111111111111111111112,Cycle-SOL,Cycle,HJ2n2a3YK1LTBCRbS932cTtmXw4puhgG8Jb2WcpEpump,SOL,So11111111111111111111111111111111111111112,18666.82,1210764.62,1210764.01,4140.04,400,1,6,1,7,2
5,5bKxjcJLsz2kpQ2jD9DfqbBJSRpw68sdoAUV2rUibonk-So11111111111111111111111111111111111111112,IBG-SOL,IBG,5bKxjcJLsz2kpQ2jD9DfqbBJSRpw68sdoAUV2rUibonk,SOL,So11111111111111111111111111111111111111112,6018.7,1099477.03,1099476.87,1704.33,400,2,3,1,5,2
6,G8Yae9JBRYtWFBWUMbrKo8aRmb9bX9S9reA9Tne4bonk-So11111111111111111111111111111111111111112,BarkCoin-SOL,BarkCoin,G8Yae9JBRYtWFBWUMbrKo8aRmb9bX9S9reA9Tne4bonk,SOL,So11111111111111111111111111111111111111112,3180.54,115404.72,115404.75,921.15,400,1,2,1,3,2
7,GsSUx3qENEAn5MDQLGYHYs7ThtPXsnwCkKwqv1ZWbonk-So11111111111111111111111111111111111111112,GOLDCARD-SOL,GOLDCARD,GsSUx3qENEAn5MDQLGYHYs7ThtPXsnwCkKwqv1ZWbonk,SOL,So11111111111111111111111111111111111111112,1993.82,1048978.58,1048978.71,479.19,400,1,3,1,4,2
