No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,E8XP6wCvQB36XSCvKKZY56Gp2X5Vsx3Cyd4uwiUU8888-So11111111111111111111111111111111111111112,WORTI-SOL,WORTI,E8XP6wCvQB36XSCvKKZY56Gp2X5Vsx3Cyd4uwiUU8888,SOL,So11111111111111111111111111111111111111112,890.58,11101.05,11100.87,405.42,400,1,2,1,3,2
2,zw7WjHDir3GB5Gtp5WRxnnCR1pKb8xGPdwDbRbfpump-So11111111111111111111111111111111111111112,Sip-SOL,Sip,zw7WjHDir3GB5Gtp5WRxnnCR1pKb8xGPdwDbRbfpump,SOL,So11111111111111111111111111111111111111112,504.34,18720.36,18720.36,761.82,400,1,2,1,3,2
3,6pjLsfSPYyxbH6hsuX8KsHTJDm2ErbfUd8PCpoyMpump-So11111111111111111111111111111111111111112,STONE-SOL,STONE,6pjLsfSPYyxbH6hsuX8KsHTJDm2ErbfUd8PCpoyMpump,SOL,So11111111111111111111111111111111111111112,2973.46,112074.7,112075.18,819.36,400,1,4,1,5,2
4,EMQymgVq2XPqUxhzVgc1EyTsAYMdFChdVQtXbW6npump-So11111111111111111111111111111111111111112,Gmye-SOL,Gmye,EMQymgVq2XPqUxhzVgc1EyTsAYMdFChdVQtXbW6npump,SOL,So11111111111111111111111111111111111111112,6371.95,54397.62,54397.73,1929.41,400,1,1,1,2,2
5,ESjuJW4cAhTaVT3YZ9s9qdP3zoPZNNmrvdNTmsCUTKkX-So11111111111111111111111111111111111111112,BRETT-SOL,BRETT,ESjuJW4cAhTaVT3YZ9s9qdP3zoPZNNmrvdNTmsCUTKkX,SOL,So11111111111111111111111111111111111111112,1749.74,73157.15,73157.1,2461.31,400,1,4,1,5,2
6,9vgQtnYPzNCXMKoMFnVQvYnobqewEnu1dgUgmARcpump-So11111111111111111111111111111111111111112,NIGGACHILL-SOL,NIGGACHILL,9vgQtnYPzNCXMKoMFnVQvYnobqewEnu1dgUgmARcpump,SOL,So11111111111111111111111111111111111111112,1842.55,238713.35,238713.22,2532.36,400,1,4,1,5,2
7,H4kzQgCg24JyDNBVEgQy3VZXUorBuXkwQuW5bx4ypump-So11111111111111111111111111111111111111112,RIGBY-SOL,RIGBY,H4kzQgCg24JyDNBVEgQy3VZXUorBuXkwQuW5bx4ypump,SOL,So11111111111111111111111111111111111111112,1722.92,8169.7,8169.69,4244.25,400,2,1,1,3,2
8,8okk9j6vJdYg3Ev5eMUwDYzCNMaVGAUbTTJHWnN1pump-So11111111111111111111111111111111111111112,Manus-SOL,Manus,8okk9j6vJdYg3Ev5eMUwDYzCNMaVGAUbTTJHWnN1pump,SOL,So11111111111111111111111111111111111111112,5883.21,56329.06,56329.28,5645.59,400,1,2,1,3,2
9,GBe6NW24f1yzPxEKTxYBsr8npNnFi9mkBpbJyf6ppump-So11111111111111111111111111111111111111112,Orange-SOL,Orange,GBe6NW24f1yzPxEKTxYBsr8npNnFi9mkBpbJyf6ppump,SOL,So11111111111111111111111111111111111111112,22903.37,844573.88,844574.43,14640.37,400,1,5,1,6,2
10,8kgMCX7ezivU472eXaiGRu8xzNetpdxKDvNQBwKRipxi-So11111111111111111111111111111111111111112,WOD-SOL,WOD,8kgMCX7ezivU472eXaiGRu8xzNetpdxKDvNQBwKRipxi,SOL,So11111111111111111111111111111111111111112,94213.04,1767120.03,1767120.05,41556.37,400,1,8,1,9,2
