No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,2TK6MgLTmHDhmdh4EtdnBkYKZPkcjMp6cj3gcWhqpump-So11111111111111111111111111111111111111112,MMC-SOL,MMC,2TK6MgLTmHDhmdh4EtdnBkYKZPkcjMp6cj3gcWhqpump,SOL,So11111111111111111111111111111111111111112,11212.4,636675.12,636853.26,12868.65,400,1,5,1,6,2
2,AdwCEWQGzt3vuFMEPMf97AJMiq1eYL2sR7gk2x42pump-So11111111111111111111111111111111111111112,LENS-SOL,LENS,AdwCEWQGzt3vuFMEPMf97AJMiq1eYL2sR7gk2x42pump,SOL,So11111111111111111111111111111111111111112,12719.54,54347.64,54346.24,2361.26,400,2,2,1,4,2
3,CKCwS3gq4DHpvAD5FYCZq6qsZjaTv9mp67kYh4Vbpump-So11111111111111111111111111111111111111112,Sadcookie-SOL,Sadcookie,CKCwS3gq4DHpvAD5FYCZq6qsZjaTv9mp67kYh4Vbpump,SOL,So11111111111111111111111111111111111111112,3866.28,31340.65,31340.59,1105.73,400,1,2,1,3,2
4,HXWUPfjwjTw7uX4QSBNe3VVtZPMWNban1ZEJ8JnJpump-So11111111111111111111111111111111111111112,CRAFT-SOL,CRAFT,HXWUPfjwjTw7uX4QSBNe3VVtZPMWNban1ZEJ8JnJpump,SOL,So11111111111111111111111111111111111111112,1006.28,37251.82,37252.15,1081.57,400,1,2,1,3,2
5,HAUWqZTnQNhSqC3AG4GYtuoqTZMi3ywvgqWMyKC7pump-So11111111111111111111111111111111111111112,EraLab-SOL,EraLab,HAUWqZTnQNhSqC3AG4GYtuoqTZMi3ywvgqWMyKC7pump,SOL,So11111111111111111111111111111111111111112,1587.9,947.32,947.21,655.31,400,1,2,1,3,2
6,BSubUBTHxECeAYUsAs9FmjbuECvMBfuvs1PA8EkKpump-So11111111111111111111111111111111111111112,Side Eye-SOL,Side Eye,BSubUBTHxECeAYUsAs9FmjbuECvMBfuvs1PA8EkKpump,SOL,So11111111111111111111111111111111111111112,2618.47,5694.93,5694.81,435.42,400,1,2,1,3,2
