No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,zdsKQteHdKHRfakye1A5AsTxzgZM4BWEifFn9cUpump-So11111111111111111111111111111111111111112,AYO-SOL,AYO,zdsKQteHdKHRfakye1A5AsTxzgZM4BWEifFn9cUpump,SOL,So11111111111111111111111111111111111111112,25225.36,1030240.0,1030240.41,6080.85,400,1,5,1,6,2
2,76Gdw1YNfEcUnqTaqpQXzxwiyWjySKuUsNojj1opump-So11111111111111111111111111111111111111112,DEGENGAME-SOL,DEGENGAME,76Gdw1YNfEcUnqTaqpQXzxwiyWjySKuUsNojj1opump,SOL,So11111111111111111111111111111111111111112,5605.91,20338.44,20338.42,5594.65,400,1,1,1,2,2
3,oPR8oAMGSAKdSBj6tBzDT3ihuXWJFym2PG6jDdWpump-So11111111111111111111111111111111111111112,SIGH-SOL,SIGH,oPR8oAMGSAKdSBj6tBzDT3ihuXWJFym2PG6jDdWpump,SOL,So11111111111111111111111111111111111111112,1245.34,479052.84,479053.42,2409.84,400,1,2,1,3,2
4,BvnsDveYbzt3wMTgwYgpzMrgj6pdX2G2fqZ54Vs2pump-So11111111111111111111111111111111111111112,winner-SOL,winner,BvnsDveYbzt3wMTgwYgpzMrgj6pdX2G2fqZ54Vs2pump,SOL,So11111111111111111111111111111111111111112,2954.98,36469.53,36469.53,1264.42,400,1,2,1,3,2
5,Ckr1exizxJ7HM5u2fLHzS1L3QthNXP9fGV8CAbE1pump-So11111111111111111111111111111111111111112,OREO-SOL,OREO,Ckr1exizxJ7HM5u2fLHzS1L3QthNXP9fGV8CAbE1pump,SOL,So11111111111111111111111111111111111111112,1122.4,1108.28,1108.29,1108.29,400,1,1,1,2,2
6,BCToCtKDPVRygg5mNYzsx91Ya3U9shwxaaR8JRdBpump-So11111111111111111111111111111111111111112,WOLFDOG-SOL,WOLFDOG,BCToCtKDPVRygg5mNYzsx91Ya3U9shwxaaR8JRdBpump,SOL,So11111111111111111111111111111111111111112,689.35,1781.47,1781.43,644.26,400,1,2,1,3,2
